2025-10-26 10:30:53,387 | INFO | app | REQ GET /api/forecast params={'city': 'Hanoi', 'hours': '5'}
2025-10-26 10:30:53,938 | INFO | app | RESP 200 application/json
2025-10-26 10:30:53,951 | INFO | app | REQ GET /api/forecast3 params={'city': 'Hanoi'}
2025-10-26 10:30:54,082 | INFO | app | RESP 200 application/json
2025-10-26 10:30:54,092 | INFO | app | REQ GET /api/history params={'city': 'Hanoi', 'limit': '50'}
2025-10-26 10:30:54,099 | INFO | app | RESP 200 application/json
2025-10-26 10:32:11,868 | INFO | app | REQ GET /health params={}
2025-10-26 10:32:11,870 | INFO | app | RESP 200 application/json
2025-10-26 10:32:17,122 | INFO | app | REQ GET /health params={}
2025-10-26 10:32:17,124 | INFO | app | RESP 200 application/json
2025-10-26 10:32:21,536 | INFO | app | REQ GET /health params={}
2025-10-26 10:32:21,538 | INFO | app | RESP 200 application/json
2025-10-26 10:32:55,634 | INFO | app | REQ GET /health params={}
2025-10-26 10:32:55,635 | INFO | app | RESP 200 application/json
2025-10-26 10:35:22,367 | INFO | app | REQ GET /health params={}
2025-10-26 10:35:22,369 | INFO | app | RESP 200 application/json
2025-10-26 10:35:24,489 | INFO | app | REQ GET /health params={}
2025-10-26 10:35:24,492 | INFO | app | RESP 200 application/json
2025-10-26 10:35:27,961 | INFO | app | REQ GET /health params={}
2025-10-26 10:35:27,963 | INFO | app | RESP 200 application/json
2025-10-26 10:35:31,552 | INFO | app | REQ GET /health params={}
2025-10-26 10:35:31,553 | INFO | app | RESP 200 application/json
2025-10-26 10:37:36,133 | INFO | app | REQ GET /health params={}
2025-10-26 10:37:36,136 | INFO | app | RESP 200 application/json
2025-10-26 10:37:40,617 | INFO | app | REQ GET /health params={}
2025-10-26 10:37:40,618 | INFO | app | RESP 200 application/json
2025-10-26 10:37:45,363 | INFO | app | REQ GET /health params={}
2025-10-26 10:37:45,366 | INFO | app | RESP 200 application/json
2025-10-26 10:37:50,430 | INFO | app | REQ GET /health params={}
2025-10-26 10:37:50,941 | INFO | app | RESP 200 application/json
2025-10-26 10:38:04,449 | INFO | app | REQ GET /health params={}
2025-10-26 10:38:04,451 | INFO | app | RESP 200 application/json
2025-10-26 10:38:07,435 | INFO | app | REQ GET /health params={}
2025-10-26 10:38:07,437 | INFO | app | RESP 200 application/json
2025-10-26 10:38:11,414 | INFO | app | REQ GET /health params={}
2025-10-26 10:38:11,416 | INFO | app | RESP 200 application/json
2025-10-26 10:39:55,592 | INFO | app | REQ GET /health params={}
2025-10-26 10:39:55,595 | INFO | app | RESP 200 application/json
2025-10-26 10:40:01,749 | INFO | app | REQ GET /health params={}
2025-10-26 10:40:01,751 | INFO | app | RESP 200 application/json
2025-10-26 10:40:05,827 | INFO | app | REQ GET /health params={}
2025-10-26 10:40:05,830 | INFO | app | RESP 200 application/json
2025-10-26 10:40:10,349 | INFO | app | REQ GET /health params={}
2025-10-26 10:40:10,350 | INFO | app | RESP 200 application/json
2025-10-26 10:42:32,553 | INFO | app | REQ GET /health params={}
2025-10-26 10:42:32,555 | INFO | app | RESP 200 application/json
2025-10-26 10:45:17,346 | INFO | app | REQ GET /health params={}
2025-10-26 10:45:17,348 | INFO | app | RESP 200 application/json
2025-10-26 10:45:19,394 | INFO | app | REQ GET /api/weather params={'city': 'Ho Chi Minh City', 't': '1761450319382'}
2025-10-26 10:45:19,694 | INFO | app | REQ GET /api/forecast params={'city': 'Ho Chi Minh City', 'hours': '5', 't': '1761450319383'}
2025-10-26 10:45:19,883 | INFO | app | RESP 200 application/json
2025-10-26 10:45:20,255 | INFO | app | RESP 200 application/json
2025-10-26 10:45:49,199 | INFO | app | REQ GET /api/forecast3 params={'city': 'Ho Chi Minh City', 't': '1761450348887'}
2025-10-26 10:45:50,592 | INFO | app | RESP 200 application/json
2025-10-26 10:45:50,957 | INFO | app | REQ GET /api/forecast3 params={'city': 'Ho Chi Minh City', 't': '1761450350953'}
2025-10-26 10:45:51,158 | INFO | app | RESP 200 application/json
2025-10-26 10:47:25,132 | INFO | app | REQ GET /api/history params={'city': 'Ho Chi Minh City', 'limit': '100', 't': '1761450444819'}
2025-10-26 10:47:25,167 | INFO | app | RESP 200 application/json
2025-10-26 10:47:39,044 | INFO | app | REQ GET /health params={}
2025-10-26 10:47:39,046 | INFO | app | RESP 200 application/json
2025-10-26 10:47:44,594 | INFO | app | REQ GET /api/weather params={'city': 'Hanoi', 't': '1761450464591'}
2025-10-26 10:47:44,595 | INFO | app | RESP 200 application/json
2025-10-26 10:47:44,901 | INFO | app | REQ GET /api/forecast params={'city': 'Hanoi', 'hours': '5', 't': '1761450464591'}
2025-10-26 10:47:45,910 | INFO | app | RESP 200 application/json
